TR:MCF7:CellLine,TR:EGF,TR:FGF1,TR:HGF,TR:IGF1,TR:INSULIN,TR:NRG1,TR:SERUM,TR:AKT_pT308i,TR:MEK1_pS217_S221i,DA:ALL,DV:4EBP1_pS65,DV:AKT_pS473,DV:AKT_pT308,DV:BAD_pS112,DV:c-JUN_pS73,DV:c-Met_pY1235,DV:c-Raf_pS338,DV:EGFR_pY992,DV:ER-alpha_pS118,DV:GSK3-alpha-beta_pS21_S9,DV:GSK3-alpha-beta_pS9,DV:HER2_pY1248,DV:JNK_pT183_pT185,DV:MAPK_pT202_Y204,DV:MEK1_pS217_S221,DV:mTOR_pS2448,DV:p70S6K_pT389,DV:p90RSK_pT359_S363,DV:PKC-alpha_pS657,DV:Rb_pS807_S811,DV:Src_pY416,DV:STAT3_pY705,DA:4EBP1_pS65,DA:AKT_pS473,DA:AKT_pT308,DA:BAD_pS112,DA:c-JUN_pS73,DA:c-Met_pY1235,DA:c-Raf_pS338,DA:EGFR_pY992,DA:ER-alpha_pS118,DA:GSK3-alpha-beta_pS21_S9,DA:GSK3-alpha-beta_pS9,DA:HER2_pY1248,DA:JNK_pT183_pT185,DA:MAPK_pT202_Y204,DA:MEK1_pS217_S221,DA:mTOR_pS2448,DA:p70S6K_pT389,DA:p90RSK_pT359_S363,DA:PKC-alpha_pS657,DA:Rb_pS807_S811,DA:Src_pY416,DA:STAT3_pY705
1,0,0,0,0,0,0,0,0,0,0,0.71361929,0.010025164,0.034966607,0.526681938,0.619576902,0.886735392,0.330843765,0.566794035,0.673472179,0.4978523,0.562617109,0.844654556,0.456249937,0.265163387,0.196587675,0.814669986,0.110031402,0.639769368,0.801514266,0.536153867,0.714261017,0.896669895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0.71361929,0.010025164,0.034966607,0.526681938,0.619576902,0.886735392,0.330843765,0.566794035,0.673472179,0.4978523,0.562617109,0.844654556,0.456249937,0.265163387,0.196587675,0.814669986,0.110031402,0.639769368,0.801514266,0.536153867,0.714261017,0.896669895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0.71361929,0.010025164,0.034966607,0.526681938,0.619576902,0.886735392,0.330843765,0.566794035,0.673472179,0.4978523,0.562617109,0.844654556,0.456249937,0.265163387,0.196587675,0.814669986,0.110031402,0.639769368,0.801514266,0.536153867,0.714261017,0.896669895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0.71361929,0.010025164,0.034966607,0.526681938,0.619576902,0.886735392,0.330843765,0.566794035,0.673472179,0.4978523,0.562617109,0.844654556,0.456249937,0.265163387,0.196587675,0.814669986,0.110031402,0.639769368,0.801514266,0.536153867,0.714261017,0.896669895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0,0.71361929,0.010025164,0.034966607,0.526681938,0.619576902,0.886735392,0.330843765,0.566794035,0.673472179,0.4978523,0.562617109,0.844654556,0.456249937,0.265163387,0.196587675,0.814669986,0.110031402,0.639769368,0.801514266,0.536153867,0.714261017,0.896669895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0.71361929,0.010025164,0.034966607,0.526681938,0.619576902,0.886735392,0.330843765,0.566794035,0.673472179,0.4978523,0.562617109,0.844654556,0.456249937,0.265163387,0.196587675,0.814669986,0.110031402,0.639769368,0.801514266,0.536153867,0.714261017,0.896669895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0.71361929,0.010025164,0.034966607,0.526681938,0.619576902,0.886735392,0.330843765,0.566794035,0.673472179,0.4978523,0.562617109,0.844654556,0.456249937,0.265163387,0.196587675,0.814669986,0.110031402,0.639769368,0.801514266,0.536153867,0.714261017,0.896669895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0,0.71361929,0.010025164,0.034966607,0.526681938,0.619576902,0.886735392,0.330843765,0.566794035,0.673472179,0.4978523,0.562617109,0.844654556,0.456249937,0.265163387,0.196587675,0.814669986,0.110031402,0.639769368,0.801514266,0.536153867,0.714261017,0.896669895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,1,0,0.71361929,0.010025164,0.034966607,0.526681938,0.619576902,0.886735392,0.330843765,0.566794035,0.673472179,0.4978523,0.562617109,0.844654556,0.456249937,0.265163387,0.196587675,0.814669986,0.110031402,0.639769368,0.801514266,0.536153867,0.714261017,0.896669895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0.71361929,0.010025164,0.034966607,0.526681938,0.619576902,0.886735392,0.330843765,0.566794035,0.673472179,0.4978523,0.562617109,0.844654556,0.456249937,0.265163387,0.196587675,0.814669986,0.110031402,0.639769368,0.801514266,0.536153867,0.714261017,0.896669895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
